,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
76,Prometheus,2012,R,"['Adventure', ' Mystery', ' Sci-Fi']",124,7.0,64,621515,70.0
77,Captain Marvel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.8,64,578894,68.0
78,Suicide Squad,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",123,5.9,40,698974,59.0
79,Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,490875,68.0
80,The Tomorrow War,2021,PG-13,"['Action', ' Adventure', ' Drama']",138,6.5,45,214137,65.0
81,Ant-Man and the Wasp,2018,PG-13,"['Action', ' Adventure', ' Comedy']",118,7.0,70,424487,70.0
82,The Platform,2019,TV-MA,"['Horror', ' Sci-Fi', ' Thriller']",94,7.0,73,244971,70.0
83,Watchmen,2009,R,"['Action', ' Drama', ' Mystery']",162,7.6,56,562621,76.0
84,The Avengers,2012,PG-13,"['Action', ' Sci-Fi']",143,8.0,69,1415328,80.0
85,Star Wars: Episode II - Attack of the Clones,2002,PG,"['Action', ' Adventure', ' Fantasy']",142,6.6,54,729134,66.0
86,Valerian and the City of a Thousand Planets,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",136,6.4,51,188403,64.0
87,Zack Snyder's Justice League,2021,R,"['Action', ' Adventure', ' Fantasy']",242,8.0,54,412344,80.0
88,Arrival,2016,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,81,718378,79.0
89,Donnie Darko,2001,R,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,88,819109,80.0
90,Ex Machina,2014,R,"['Drama', ' Sci-Fi', ' Thriller']",108,7.7,78,561520,77.0
91,The Matrix Resurrections,2021,R,"['Action', ' Sci-Fi']",148,5.7,63,260919,57.0
92,The Hunger Games: Catching Fire,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",146,7.5,76,683403,75.0
93,Ghostbusters,1984,PG,"['Action', ' Comedy', ' Fantasy']",105,7.8,71,425527,78.0
94,The Thing,1982,R,"['Horror', ' Mystery', ' Sci-Fi']",109,8.2,57,438286,82.0
95,Ghostbusters: Afterlife,2021,PG-13,"['Adventure', ' Comedy', ' Fantasy']",124,7.1,45,192140,71.0
96,Captain America: The First Avenger,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,864185,69.0
97,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,401911,74.0
98,Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,785876,71.0
99,Annihilation,2018,R,"['Adventure', ' Drama', ' Horror']",115,6.8,79,339069,68.0
100,Total Recall,1990,R,"['Action', ' Adventure', ' Sci-Fi']",113,7.5,60,340598,75.0
101,Black Panther,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,801494,73.0
102,Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",98,7.3,71,584186,73.0
103,Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,82,610207,79.0
104,Star Wars: Episode VII - The Force Awakens,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138,7.8,80,946994,78.0
105,Alien: Covenant,2017,R,"['Horror', ' Sci-Fi', ' Thriller']",122,6.4,65,289633,64.0
106,The Martian,2015,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",144,8.0,80,878766,80.0
107,Independence Day,1996,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145,7.0,59,586332,70.0
108,Venom: Let There Be Carnage,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",97,5.9,49,236774,59.0
109,Star Wars: Episode V - The Empire Strikes Back,1980,PG,"['Action', ' Adventure', ' Fantasy']",124,8.7,82,1320332,87.0
110,Black Widow,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,6.7,68,396544,67.0
111,Godzilla vs. Kong,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,59,219580,63.0
112,Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",130,7.9,74,775415,79.0
113,Moonfall,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,5.1,41,88058,51.0
114,Mars Attacks!,1996,PG-13,"['Comedy', ' Sci-Fi']",106,6.4,52,234423,64.0
115,Prey,2022,R,"['Action', ' Adventure', ' Drama']",100,7.1,71,206731,71.0
116,Logan,2017,R,"['Action', ' Drama', ' Sci-Fi']",137,8.1,77,786858,81.0
